State Name,District Name,Disability,Age Group,Male,Female,Other,Total
Chhattisgarh,Mahasamund,Blindness,'35-60',108,48,,156
Chhattisgarh,Mahasamund,Blindness,'15-35',128,116,,244
Chhattisgarh,Mahasamund,Blindness,'0-6',5,1,,6
Chhattisgarh,Mahasamund,Autism Spectrum Disorder,'6-15',1,1,,2
Chhattisgarh,Mahasamund,Autism Spectrum Disorder,'35-60',,2,,2
Chhattisgarh,Mahasamund,Autism Spectrum Disorder,'15-35',,1,,1
Chhattisgarh,Korea,Thalassemia,'6-15',3,,,3
Chhattisgarh,Korea,Thalassemia,'15-35',,2,,2
Chhattisgarh,Korea,Speech and Language Disability,'80+',,1,,1
Chhattisgarh,Korea,Speech and Language Disability,'60-80',2,3,,5
Chhattisgarh,Korea,Speech and Language Disability,'6-15',12,4,,16
Chhattisgarh,Korea,Speech and Language Disability,'35-60',15,17,,32
Chhattisgarh,Mahasamund,Blindness,'6-15',52,51,,103
Chhattisgarh,Mahasamund,Blindness,'60-80',44,22,,66
Chhattisgarh,Mahasamund,Blindness,'80+',4,1,,5
Chhattisgarh,Mahasamund,Hearing Impairment,'0-6',6,2,,8
Chhattisgarh,Mahasamund,Dwarfism,'60-80',1,1,,2
Chhattisgarh,Mahasamund,Dwarfism,'6-15',,1,,1
Chhattisgarh,Mahasamund,Dwarfism,'35-60',4,5,,9
Chhattisgarh,Mahasamund,Dwarfism,'15-35',8,18,,26
Chhattisgarh,Mahasamund,Chronic Neurological Conditions,'35-60',1,,,1
Chhattisgarh,Mahasamund,Chronic Neurological Conditions,'15-35',,,,
Chhattisgarh,Mahasamund,Cerebral Palsy,'80+',2,,,2
Chhattisgarh,Mahasamund,Cerebral Palsy,'60-80',12,6,,18
Chhattisgarh,Mahasamund,Cerebral Palsy,'6-15',29,19,,48
Chhattisgarh,Mahasamund,Cerebral Palsy,'35-60',50,16,,66
Chhattisgarh,Mahasamund,Cerebral Palsy,'15-35',104,82,,186
Chhattisgarh,Korea,Speech and Language Disability,'15-35',42,24,,66
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Multiple Disabilities,'15-35',2,3,,5
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Hearing Impairment,'60-80',3,2,,5
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Hearing Impairment,'6-15',,,,
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Hearing Impairment,'35-60',3,2,,5
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Hearing Impairment,'15-35',6,2,,8
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Hearing Impairment,'0-6',1,,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Dwarfism,'15-35',,1,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Cerebral Palsy,'6-15',1,1,,2
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Cerebral Palsy,'35-60',1,,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Cerebral Palsy,'15-35',1,1,,2
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Cerebral Palsy,'0-6',,1,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Blindness,'60-80',1,1,,2
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Blindness,'6-15',3,,,3
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Hemophilia,'0-6',,,,
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Intellectual Disability,'15-35',1,,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Intellectual Disability,'6-15',1,,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Mental Illness,'6-15',2,1,,3
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Mental Illness,'35-60',3,,,3
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Mental Illness,'15-35',5,3,,8
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Low Vision,'6-15',1,,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Low Vision,'35-60',1,,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Low Vision,'15-35',3,1,,4
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Locomotor Disability,'80+',3,2,,5
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Locomotor Disability,'60-80',26,5,,31
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Locomotor Disability,'6-15',5,4,,9
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Locomotor Disability,'35-60',91,28,,119
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Locomotor Disability,'15-35',52,16,,68
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Locomotor Disability,'0-6',1,1,,2
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Blindness,'35-60',7,5,,12
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Blindness,'15-35',11,15,,26
Chhattisgarh,Mahasamund,Muscular Dystrophy,'35-60',3,2,,5
Chhattisgarh,Mahasamund,Muscular Dystrophy,'15-35',7,4,,11
Chhattisgarh,Mahasamund,Multiple Sclerosis,'80+',,1,,1
Chhattisgarh,Mahasamund,Multiple Sclerosis,'60-80',6,,,6
Chhattisgarh,Mahasamund,Multiple Sclerosis,'6-15',1,,,1
Chhattisgarh,Mahasamund,Multiple Sclerosis,'35-60',11,8,,19
Chhattisgarh,Mahasamund,Multiple Sclerosis,'15-35',4,8,,12
Chhattisgarh,Mahasamund,Multiple Disabilities,'60-80',4,,,4
Chhattisgarh,Mahasamund,Multiple Disabilities,'6-15',5,2,,7
Chhattisgarh,Mahasamund,Multiple Disabilities,'35-60',12,5,,17
Chhattisgarh,Mahasamund,Multiple Disabilities,'15-35',24,18,,42
Chhattisgarh,Mahasamund,Mental Illness,'60-80',1,1,,2
Chhattisgarh,Mahasamund,Muscular Dystrophy,'6-15',1,,,1
Chhattisgarh,Mahasamund,Parkinson's Disease,'35-60',1,,,1
Chhattisgarh,Mahasamund,Parkinson's Disease,'6-15',1,,,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Autism Spectrum Disorder,'6-15',,1,,1
Chhattisgarh,Mahasamund,Thalassemia,'6-15',2,,,2
Chhattisgarh,Mahasamund,Thalassemia,'35-60',2,,,2
Chhattisgarh,Mahasamund,Thalassemia,'15-35',3,1,,4
Chhattisgarh,Mahasamund,Speech and Language Disability,'6-15',,1,,1
Chhattisgarh,Mahasamund,Speech and Language Disability,'35-60',,2,,2
Chhattisgarh,Mahasamund,Speech and Language Disability,'15-35',5,,,5
Chhattisgarh,Mahasamund,Sickle Cell Disease,'60-80',1,1,,2
Chhattisgarh,Mahasamund,Sickle Cell Disease,'6-15',18,19,,37
Chhattisgarh,Mahasamund,Sickle Cell Disease,'35-60',7,7,,14
Chhattisgarh,Mahasamund,Sickle Cell Disease,'15-35',31,34,,65
Chhattisgarh,Mahasamund,Sickle Cell Disease,'0-6',2,1,,3
Chhattisgarh,Mahasamund,Mental Illness,'6-15',12,4,,16
Chhattisgarh,Narayanpur,Blindness,'6-15',7,3,,10
Chhattisgarh,Raipur,Mental Illness,'15-35',65,37,,102
Chhattisgarh,Raipur,Intellectual Disability,'35-60',185,171,,356
Chhattisgarh,Raipur,Intellectual Disability,'15-35',796,585,2,1383
Chhattisgarh,Raipur,Intellectual Disability,'0-6',21,20,,41
Chhattisgarh,Raipur,Hemophilia,'6-15',,1,,1
Chhattisgarh,Raipur,Hemophilia,'35-60',1,1,,2
Chhattisgarh,Raipur,Hemophilia,'15-35',7,,,7
Chhattisgarh,Raipur,Hearing Impairment,'80+',8,4,,12
Chhattisgarh,Raipur,Hearing Impairment,'60-80',36,13,,49
Chhattisgarh,Raipur,Hearing Impairment,'6-15',161,115,,276
Chhattisgarh,Raipur,Hearing Impairment,'35-60',193,88,1,282
Chhattisgarh,Raipur,Hearing Impairment,'15-35',363,316,,679
Chhattisgarh,Raipur,Hearing Impairment,'0-6',12,6,,18
Chhattisgarh,Raipur,Intellectual Disability,'6-15',385,266,,651
Chhattisgarh,Raipur,Intellectual Disability,'60-80',10,7,,17
Chhattisgarh,Raipur,Leprosy cured,'35-60',2,4,,6
Chhattisgarh,Raipur,Mental Illness,'0-6',,,,
Chhattisgarh,Raipur,Low Vision,'60-80',,,,
Chhattisgarh,Raipur,Low Vision,'35-60',2,2,,4
Chhattisgarh,Raipur,Low Vision,'15-35',,4,,4
Chhattisgarh,Raipur,Locomotor Disability,'80+',52,13,,65
Chhattisgarh,Raipur,Locomotor Disability,'60-80',836,255,3,1094
Chhattisgarh,Raipur,Locomotor Disability,'6-15',253,144,,397
Chhattisgarh,Raipur,Locomotor Disability,'35-60',3193,1433,4,4630
Chhattisgarh,Raipur,Locomotor Disability,'15-35',1453,856,3,2312
Chhattisgarh,Raipur,Locomotor Disability,'0-6',11,7,,18
Chhattisgarh,Raipur,Leprosy cured,'80+',5,5,,10
Chhattisgarh,Raipur,Leprosy cured,'60-80',10,21,,31
Chhattisgarh,Raipur,Dwarfism,'35-60',2,2,,4
Chhattisgarh,Raipur,Dwarfism,'15-35',7,7,,14
Chhattisgarh,Raipur,Blindness,'0-6',3,3,,6
Chhattisgarh,Raipur,Autism Spectrum Disorder,'60-80',1,,,1
Chhattisgarh,Raipur,Autism Spectrum Disorder,'6-15',119,19,,138
Chhattisgarh,Raipur,Autism Spectrum Disorder,'35-60',1,1,,2
Chhattisgarh,Raipur,Autism Spectrum Disorder,'15-35',33,10,,43
Chhattisgarh,Raipur,Autism Spectrum Disorder,'0-6',18,7,,25
Chhattisgarh,Raipur,Acid Attack Victim,'35-60',2,,,2
Chhattisgarh,Raipur,Acid Attack Victim,'15-35',,1,,1
Chhattisgarh,Raigarh,Thalassemia,'6-15',4,2,,6
Chhattisgarh,Raigarh,Thalassemia,'15-35',1,1,,2
Chhattisgarh,Raigarh,Thalassemia,'0-6',,1,,1
Chhattisgarh,Raigarh,Speech and Language Disability,'60-80',,1,,1
Chhattisgarh,Raipur,Blindness,'15-35',221,189,,410
Chhattisgarh,Raipur,Blindness,'35-60',192,97,,289
Chhattisgarh,Raipur,Blindness,'6-15',47,52,1,100
Chhattisgarh,Raipur,Chronic Neurological Conditions,'80+',2,,,2
Chhattisgarh,Raipur,Chronic Neurological Conditions,'60-80',27,,,27
Chhattisgarh,Raipur,Chronic Neurological Conditions,'6-15',,,,
Chhattisgarh,Raipur,Chronic Neurological Conditions,'35-60',80,14,,94
Chhattisgarh,Raipur,Chronic Neurological Conditions,'15-35',16,9,,25
Chhattisgarh,Raipur,Cerebral Palsy,'80+',,1,,1
Chhattisgarh,Raipur,Cerebral Palsy,'60-80',,,,
Chhattisgarh,Raipur,Cerebral Palsy,'6-15',5,1,,6
Chhattisgarh,Raipur,Cerebral Palsy,'35-60',7,4,,11
Chhattisgarh,Raipur,Cerebral Palsy,'15-35',38,20,,58
Chhattisgarh,Raipur,Blindness,'80+',8,2,,10
Chhattisgarh,Raipur,Blindness,'60-80',68,24,,92
Chhattisgarh,Raigarh,Speech and Language Disability,'35-60',7,1,,8
Chhattisgarh,Rajnandgaon,Dwarfism,'6-15',6,4,,10
Chhattisgarh,Rajnandgaon,Blindness,'15-35',98,91,,189
Chhattisgarh,Rajnandgaon,Blindness,'0-6',2,,,2
Chhattisgarh,Rajnandgaon,Autism Spectrum Disorder,'80+',1,,,1
Chhattisgarh,Rajnandgaon,Autism Spectrum Disorder,'60-80',2,,,2
Chhattisgarh,Rajnandgaon,Autism Spectrum Disorder,'6-15',16,5,,21
Chhattisgarh,Rajnandgaon,Autism Spectrum Disorder,'15-35',5,,,5
Chhattisgarh,Rajnandgaon,Autism Spectrum Disorder,'0-6',11,1,,12
Chhattisgarh,Rajnandgaon,Acid Attack Victim,'35-60',3,,,3
Chhattisgarh,Rajnandgaon,Acid Attack Victim,'15-35',1,1,,2
Chhattisgarh,Raipur,Thalassemia,'60-80',,1,,1
Chhattisgarh,Raipur,Thalassemia,'6-15',16,11,,27
Chhattisgarh,Raipur,Thalassemia,'35-60',3,1,,4
Chhattisgarh,Rajnandgaon,Blindness,'35-60',124,76,,200
Chhattisgarh,Rajnandgaon,Blindness,'6-15',22,16,,38
Chhattisgarh,Rajnandgaon,Blindness,'60-80',58,30,,88
Chhattisgarh,Rajnandgaon,Dwarfism,'35-60',20,25,,45
Chhattisgarh,Rajnandgaon,Dwarfism,'15-35',39,59,,98
Chhattisgarh,Rajnandgaon,Chronic Neurological Conditions,'60-80',44,15,,59
Chhattisgarh,Rajnandgaon,Chronic Neurological Conditions,'6-15',9,3,,12
Chhattisgarh,Rajnandgaon,Chronic Neurological Conditions,'35-60',122,34,,156
Chhattisgarh,Rajnandgaon,Chronic Neurological Conditions,'15-35',55,24,,79
Chhattisgarh,Rajnandgaon,Cerebral Palsy,'60-80',6,1,,7
Chhattisgarh,Rajnandgaon,Cerebral Palsy,'6-15',189,122,,311
Chhattisgarh,Rajnandgaon,Cerebral Palsy,'35-60',39,26,,65
Chhattisgarh,Rajnandgaon,Cerebral Palsy,'15-35',239,170,,409
Chhattisgarh,Rajnandgaon,Cerebral Palsy,'0-6',19,17,,36
Chhattisgarh,Rajnandgaon,Blindness,'80+',8,5,,13
Chhattisgarh,Raipur,Thalassemia,'15-35',27,14,,41
Chhattisgarh,Raipur,Thalassemia,'0-6',4,2,,6
Chhattisgarh,Raipur,Muscular Dystrophy,'0-6',,,,
Chhattisgarh,Raipur,Multiple Sclerosis,'60-80',,,,
Chhattisgarh,Raipur,Multiple Sclerosis,'6-15',,,,
Chhattisgarh,Raipur,Multiple Sclerosis,'35-60',,2,,2
Chhattisgarh,Raipur,Multiple Sclerosis,'15-35',2,,,2
Chhattisgarh,Raipur,Multiple Disabilities,'60-80',5,3,,8
Chhattisgarh,Raipur,Multiple Disabilities,'6-15',151,87,2,240
Chhattisgarh,Raipur,Multiple Disabilities,'35-60',39,22,,61
Chhattisgarh,Raipur,Multiple Disabilities,'15-35',162,86,,248
Chhattisgarh,Raipur,Multiple Disabilities,'0-6',16,10,,26
Chhattisgarh,Raipur,Mental Illness,'60-80',4,4,,8
Chhattisgarh,Raipur,Mental Illness,'6-15',2,4,,6
Chhattisgarh,Raipur,Muscular Dystrophy,'15-35',7,,,7
Chhattisgarh,Raipur,Muscular Dystrophy,'35-60',5,4,,9
Chhattisgarh,Raipur,Muscular Dystrophy,'60-80',,,,
Chhattisgarh,Raipur,Speech and Language Disability,'6-15',,,,
Chhattisgarh,Raipur,Speech and Language Disability,'35-60',2,1,,3
Chhattisgarh,Raipur,Speech and Language Disability,'15-35',4,3,,7
Chhattisgarh,Raipur,Speech and Language Disability,'0-6',,,,
Chhattisgarh,Raipur,Specific Learning Disabilities,'15-35',5,1,,6
Chhattisgarh,Raipur,Sickle Cell Disease,'6-15',9,8,,17
Chhattisgarh,Raipur,Sickle Cell Disease,'35-60',10,7,,17
Chhattisgarh,Raipur,Sickle Cell Disease,'15-35',30,31,,61
Chhattisgarh,Raipur,Sickle Cell Disease,'0-6',1,,,1
Chhattisgarh,Raipur,Parkinson's Disease,'60-80',1,,,1
Chhattisgarh,Raipur,Parkinson's Disease,'35-60',3,,,3
Chhattisgarh,Raipur,Parkinson's Disease,'15-35',,,,
Chhattisgarh,Raipur,Mental Illness,'35-60',37,17,,54
Chhattisgarh,Raigarh,Speech and Language Disability,'15-35',2,9,,11
Chhattisgarh,Raigarh,Chronic Neurological Conditions,'60-80',,1,,1
Chhattisgarh,Raigarh,Autism Spectrum Disorder,'0-6',1,,,1
Chhattisgarh,Raigarh,Acid Attack Victim,'35-60',,,,
Chhattisgarh,Raigarh,Acid Attack Victim,'15-35',,1,,1
Chhattisgarh,Narayanpur,Speech and Language Disability,'60-80',,,,
Chhattisgarh,Narayanpur,Speech and Language Disability,'35-60',,,,
Chhattisgarh,Narayanpur,Speech and Language Disability,'15-35',1,,,1
Chhattisgarh,Narayanpur,Specific Learning Disabilities,'15-35',,1,,1
Chhattisgarh,Narayanpur,Sickle Cell Disease,'15-35',2,2,,4
Chhattisgarh,Narayanpur,Parkinson's Disease,'15-35',2,,,2
Chhattisgarh,Narayanpur,Multiple Sclerosis,'6-15',1,,,1
Chhattisgarh,Narayanpur,Multiple Disabilities,'60-80',1,,,1
Chhattisgarh,Narayanpur,Multiple Disabilities,'6-15',3,1,,4
Chhattisgarh,Raigarh,Autism Spectrum Disorder,'15-35',2,1,,3
Chhattisgarh,Raigarh,Autism Spectrum Disorder,'35-60',1,,,1
Chhattisgarh,Raigarh,Autism Spectrum Disorder,'6-15',10,1,,11
Chhattisgarh,Raigarh,Chronic Neurological Conditions,'35-60',4,2,,6
Chhattisgarh,Raigarh,Cerebral Palsy,'60-80',9,1,,10
Chhattisgarh,Raigarh,Cerebral Palsy,'6-15',316,201,,517
Chhattisgarh,Raigarh,Cerebral Palsy,'35-60',40,22,,62
Chhattisgarh,Raigarh,Cerebral Palsy,'15-35',308,196,,504
Chhattisgarh,Raigarh,Cerebral Palsy,'0-6',24,13,,37
Chhattisgarh,Raigarh,Blindness,'80+',13,5,,18
Chhattisgarh,Raigarh,Blindness,'60-80',101,53,,154
Chhattisgarh,Raigarh,Blindness,'6-15',98,110,,208
Chhattisgarh,Raigarh,Blindness,'35-60',227,151,,378
Chhattisgarh,Raigarh,Blindness,'15-35',292,288,1,581
Chhattisgarh,Raigarh,Blindness,'0-6',2,9,,11
Chhattisgarh,Narayanpur,Multiple Disabilities,'35-60',1,1,,2
Chhattisgarh,Narayanpur,Multiple Disabilities,'15-35',10,3,,13
Chhattisgarh,Narayanpur,Intellectual Disability,'6-15',2,4,,6
Chhattisgarh,Narayanpur,Intellectual Disability,'15-35',4,11,,15
Chhattisgarh,Narayanpur,Hemophilia,'60-80',1,,,1
Chhattisgarh,Narayanpur,Hearing Impairment,'80+',4,3,,7
Chhattisgarh,Narayanpur,Hearing Impairment,'60-80',15,7,,22
Chhattisgarh,Narayanpur,Hearing Impairment,'6-15',17,3,,20
Chhattisgarh,Narayanpur,Hearing Impairment,'35-60',28,15,,43
Chhattisgarh,Narayanpur,Hearing Impairment,'15-35',31,22,,53
Chhattisgarh,Narayanpur,Hearing Impairment,'0-6',,1,,1
Chhattisgarh,Narayanpur,Dwarfism,'15-35',,1,,1
Chhattisgarh,Narayanpur,Cerebral Palsy,'6-15',1,2,,3
Chhattisgarh,Narayanpur,Cerebral Palsy,'15-35',1,,,1
Chhattisgarh,Narayanpur,Leprosy cured,'15-35',,,,
Chhattisgarh,Narayanpur,Locomotor Disability,'0-6',2,,,2
Chhattisgarh,Narayanpur,Locomotor Disability,'15-35',162,102,1,265
Chhattisgarh,Narayanpur,Mental Illness,'6-15',10,3,,13
Chhattisgarh,Narayanpur,Mental Illness,'35-60',4,2,,6
Chhattisgarh,Narayanpur,Mental Illness,'15-35',16,19,,35
Chhattisgarh,Narayanpur,Mental Illness,'0-6',,1,,1
Chhattisgarh,Narayanpur,Low Vision,'60-80',5,1,,6
Chhattisgarh,Narayanpur,Low Vision,'6-15',5,1,,6
Chhattisgarh,Narayanpur,Low Vision,'35-60',10,3,,13
Chhattisgarh,Narayanpur,Low Vision,'15-35',19,9,,28
Chhattisgarh,Narayanpur,Locomotor Disability,'80+',8,2,,10
Chhattisgarh,Narayanpur,Locomotor Disability,'60-80',70,30,,100
Chhattisgarh,Narayanpur,Locomotor Disability,'6-15',42,23,,65
Chhattisgarh,Narayanpur,Locomotor Disability,'35-60',247,78,,325
Chhattisgarh,Narayanpur,Blindness,'60-80',3,,,3
Chhattisgarh,Raigarh,Specific Learning Disabilities,'35-60',,1,,1
Chhattisgarh,Raigarh,Mental Illness,'80+',,1,,1
Chhattisgarh,Raigarh,Mental Illness,'60-80',5,6,,11
Chhattisgarh,Raigarh,Mental Illness,'6-15',3,3,,6
Chhattisgarh,Raigarh,Mental Illness,'35-60',40,39,,79
Chhattisgarh,Raigarh,Mental Illness,'15-35',38,36,,74
Chhattisgarh,Raigarh,Mental Illness,'0-6',,1,,1
Chhattisgarh,Raigarh,Low Vision,'80+',14,4,,18
Chhattisgarh,Raigarh,Low Vision,'60-80',169,55,,224
Chhattisgarh,Raigarh,Low Vision,'6-15',137,153,,290
Chhattisgarh,Raigarh,Low Vision,'35-60',380,166,1,547
Chhattisgarh,Raigarh,Low Vision,'15-35',560,444,1,1005
Chhattisgarh,Raigarh,Low Vision,'0-6',2,2,,4
Chhattisgarh,Raigarh,Multiple Disabilities,'15-35',19,13,,32
Chhattisgarh,Raigarh,Multiple Disabilities,'35-60',11,4,,15
Chhattisgarh,Raigarh,Multiple Disabilities,'6-15',8,9,,17
Chhattisgarh,Raigarh,Specific Learning Disabilities,'15-35',1,,,1
Chhattisgarh,Raigarh,Sickle Cell Disease,'60-80',1,,,1
Chhattisgarh,Raigarh,Sickle Cell Disease,'6-15',40,32,,72
Chhattisgarh,Raigarh,Sickle Cell Disease,'35-60',24,10,1,35
Chhattisgarh,Raigarh,Sickle Cell Disease,'15-35',89,102,,191
Chhattisgarh,Raigarh,Parkinson's Disease,'60-80',5,,,5
Chhattisgarh,Raigarh,Parkinson's Disease,'35-60',,1,,1
Chhattisgarh,Raigarh,Muscular Dystrophy,'6-15',6,,,6
Chhattisgarh,Raigarh,Muscular Dystrophy,'35-60',11,4,,15
Chhattisgarh,Raigarh,Muscular Dystrophy,'15-35',19,3,,22
Chhattisgarh,Raigarh,Multiple Sclerosis,'15-35',2,1,,3
Chhattisgarh,Raigarh,Multiple Disabilities,'60-80',2,1,,3
Chhattisgarh,Raigarh,Locomotor Disability,'80+',68,41,,109
Chhattisgarh,Raigarh,Locomotor Disability,'60-80',967,327,,1294
Chhattisgarh,Raigarh,Hemophilia,'35-60',1,2,,3
Chhattisgarh,Raigarh,Hemophilia,'15-35',5,,,5
Chhattisgarh,Raigarh,Hemophilia,'0-6',1,,,1
Chhattisgarh,Raigarh,Hearing Impairment,'80+',48,21,,69
Chhattisgarh,Raigarh,Hearing Impairment,'60-80',221,120,,341
Chhattisgarh,Raigarh,Hearing Impairment,'6-15',165,140,,305
Chhattisgarh,Raigarh,Hearing Impairment,'35-60',258,190,,448
Chhattisgarh,Raigarh,Hearing Impairment,'15-35',410,337,,747
Chhattisgarh,Raigarh,Hearing Impairment,'0-6',13,4,,17
Chhattisgarh,Raigarh,Dwarfism,'60-80',1,1,,2
Chhattisgarh,Raigarh,Dwarfism,'6-15',1,,,1
Chhattisgarh,Raigarh,Dwarfism,'35-60',9,14,,23
Chhattisgarh,Raigarh,Hemophilia,'6-15',2,,,2
Chhattisgarh,Raigarh,Hemophilia,'60-80',2,,,2
Chhattisgarh,Raigarh,Intellectual Disability,'0-6',10,10,,20
Chhattisgarh,Raigarh,Locomotor Disability,'6-15',292,194,1,487
Chhattisgarh,Raigarh,Locomotor Disability,'35-60',2695,1138,2,3835
Chhattisgarh,Raigarh,Locomotor Disability,'15-35',1346,773,,2119
Chhattisgarh,Raigarh,Locomotor Disability,'0-6',10,6,,16
Chhattisgarh,Raigarh,Leprosy cured,'80+',,1,,1
Chhattisgarh,Raigarh,Leprosy cured,'60-80',5,2,,7
Chhattisgarh,Raigarh,Leprosy cured,'35-60',11,1,,12
Chhattisgarh,Raigarh,Leprosy cured,'15-35',2,3,,5
Chhattisgarh,Raigarh,Intellectual Disability,'60-80',6,5,,11
Chhattisgarh,Raigarh,Intellectual Disability,'6-15',293,220,,513
Chhattisgarh,Raigarh,Intellectual Disability,'35-60',106,99,,205
Chhattisgarh,Raigarh,Intellectual Disability,'15-35',533,351,,884
Chhattisgarh,Raigarh,Dwarfism,'15-35',16,38,,54
Chhattisgarh,Bilaspur,Cerebral Palsy,'60-80',5,1,,6
Chhattisgarh,Balrampur Ramanujganj,Cerebral Palsy,'6-15',94,60,1,155
Chhattisgarh,Balodabazar-Bhatapara,Thalassemia,'0-6',,1,,1
Chhattisgarh,Balodabazar-Bhatapara,Speech and Language Disability,'80+',,,,
Chhattisgarh,Balodabazar-Bhatapara,Speech and Language Disability,'60-80',2,2,,4
Chhattisgarh,Balodabazar-Bhatapara,Speech and Language Disability,'6-15',35,31,,66
Chhattisgarh,Balodabazar-Bhatapara,Speech and Language Disability,'35-60',39,27,,66
Chhattisgarh,Balodabazar-Bhatapara,Speech and Language Disability,'15-35',63,58,2,123
Chhattisgarh,Balodabazar-Bhatapara,Speech and Language Disability,'0-6',2,1,,3
Chhattisgarh,Balodabazar-Bhatapara,Specific Learning Disabilities,'60-80',1,,,1
Chhattisgarh,Balodabazar-Bhatapara,Specific Learning Disabilities,'6-15',1,1,,2
Chhattisgarh,Balodabazar-Bhatapara,Specific Learning Disabilities,'35-60',5,7,,12
Chhattisgarh,Balodabazar-Bhatapara,Specific Learning Disabilities,'15-35',13,6,,19
Chhattisgarh,Balodabazar-Bhatapara,Sickle Cell Disease,'60-80',1,,,1
Chhattisgarh,Balodabazar-Bhatapara,Sickle Cell Disease,'35-60',4,,,4
Chhattisgarh,Balodabazar-Bhatapara,Thalassemia,'15-35',3,1,,4
Chhattisgarh,Balodabazar-Bhatapara,Thalassemia,'35-60',1,,,1
Chhattisgarh,Balrampur Ramanujganj,Cerebral Palsy,'35-60',3,4,,7
Chhattisgarh,Balrampur Ramanujganj,Cerebral Palsy,'15-35',39,29,,68
Chhattisgarh,Balrampur Ramanujganj,Cerebral Palsy,'0-6',10,5,,15
Chhattisgarh,Balrampur Ramanujganj,Blindness,'80+',5,2,,7
Chhattisgarh,Balrampur Ramanujganj,Blindness,'60-80',73,32,,105
Chhattisgarh,Balrampur Ramanujganj,Blindness,'6-15',67,42,,109
Chhattisgarh,Balrampur Ramanujganj,Blindness,'35-60',268,130,,398
Chhattisgarh,Balrampur Ramanujganj,Blindness,'15-35',317,249,,566
Chhattisgarh,Balrampur Ramanujganj,Blindness,'0-6',2,1,,3
Chhattisgarh,Balrampur Ramanujganj,Autism Spectrum Disorder,'6-15',1,,,1
Chhattisgarh,Balrampur Ramanujganj,Acid Attack Victim,'6-15',,1,,1
Chhattisgarh,Balrampur Ramanujganj,Acid Attack Victim,'35-60',,1,,1
Chhattisgarh,Balrampur Ramanujganj,Acid Attack Victim,'15-35',,3,,3
Chhattisgarh,Balodabazar-Bhatapara,Sickle Cell Disease,'15-35',2,2,,4
Chhattisgarh,Balodabazar-Bhatapara,Parkinson's Disease,'60-80',,,,
Chhattisgarh,Balodabazar-Bhatapara,Multiple Disabilities,'35-60',52,27,,79
Chhattisgarh,Balodabazar-Bhatapara,Multiple Disabilities,'15-35',44,46,,90
Chhattisgarh,Balodabazar-Bhatapara,Mental Illness,'60-80',,1,,1
Chhattisgarh,Balodabazar-Bhatapara,Mental Illness,'6-15',46,32,,78
Chhattisgarh,Balodabazar-Bhatapara,Mental Illness,'35-60',42,31,,73
Chhattisgarh,Balodabazar-Bhatapara,Mental Illness,'15-35',113,88,,201
Chhattisgarh,Balodabazar-Bhatapara,Mental Illness,'0-6',1,,,1
Chhattisgarh,Balodabazar-Bhatapara,Low Vision,'80+',7,1,,8
Chhattisgarh,Balodabazar-Bhatapara,Low Vision,'60-80',43,18,,61
Chhattisgarh,Balodabazar-Bhatapara,Low Vision,'6-15',30,26,,56
Chhattisgarh,Balodabazar-Bhatapara,Low Vision,'35-60',95,50,,145
Chhattisgarh,Balodabazar-Bhatapara,Low Vision,'15-35',147,131,,278
Chhattisgarh,Balodabazar-Bhatapara,Locomotor Disability,'80+',27,8,,35
Chhattisgarh,Balodabazar-Bhatapara,Multiple Disabilities,'6-15',18,7,,25
